goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Xeon(R) Platinum 8488C
BenchmarkIndexRune-4                 	 9307675	       126.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 9452346	       125.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 9572425	       125.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 8885748	       125.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 9530461	       126.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 9237381	       126.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 9309188	       127.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 9300232	       127.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 9299341	       125.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRune-4                 	 9483412	       125.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2465473	       483.1 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2450707	       489.6 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2424475	       488.1 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2451894	       491.7 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2429851	       489.9 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2479873	       489.7 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2474199	       486.1 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2448423	       485.0 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2480652	       487.5 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneLongString-4       	 2482761	       485.2 ns/op	     128 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11224390	       105.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11374004	       105.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11198337	       106.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11102149	       105.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11105654	       105.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11334264	       104.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11316489	       105.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11241420	       105.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11339551	       104.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexRuneFastPath-4         	11173945	       108.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndex-4                     	 9379982	       126.7 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9202561	       126.4 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9707200	       123.3 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9650467	       125.1 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9464503	       128.6 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9263341	       128.7 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9440248	       126.7 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9354145	       126.8 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9410173	       127.4 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndex-4                     	 9190070	       124.8 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9558243	       124.4 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9687474	       124.3 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9497511	       124.2 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9562120	       125.7 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9306944	       125.3 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9369769	       125.8 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9417968	       124.3 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9561274	       124.1 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9631722	       123.4 ns/op	      33 B/op	       2 allocs/op
BenchmarkLastIndex-4                 	 9528397	       125.3 ns/op	      33 B/op	       2 allocs/op
BenchmarkIndexByte-4                 	11657371	       103.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11224138	       102.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11782740	       102.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11595127	       103.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11561744	       103.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11325711	       104.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11315758	       104.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11248875	       103.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11139967	       104.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkIndexByte-4                 	11544608	       104.5 ns/op	      32 B/op	       1 allocs/op
