goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
                                │ ./stdlib.10.1706904187.07e88bec.txt │  ./strcase.10.1706904187.07e88bec.txt   │
                                │               sec/op                │    sec/op      vs base                  │
IndexRune-8                                               10.87n ± 0%     11.96n ± 1%    +10.03% (p=0.000 n=10)
IndexRuneLongString-8                                     14.60n ± 0%     13.53n ± 0%     -7.36% (p=0.000 n=10)
IndexRuneFastPath-8                                       3.807n ± 0%     5.981n ± 0%    +57.11% (p=0.000 n=10)
Index-8                                                   3.925n ± 0%     6.276n ± 0%    +59.89% (p=0.000 n=10)
LastIndex-8                                               3.773n ± 0%     5.559n ± 0%    +47.32% (p=0.000 n=10)
IndexByte-8                                               2.894n ± 0%     4.627n ± 0%    +59.85% (p=0.000 n=10)
EqualFold/ASCII-8                                         9.859n ± 1%     8.474n ± 0%    -14.05% (p=0.000 n=10)
EqualFold/UnicodePrefix-8                                 90.05n ± 1%     37.25n ± 0%    -58.63% (p=0.000 n=10)
EqualFold/UnicodeSuffix-8                                 81.09n ± 0%     28.36n ± 1%    -65.02% (p=0.000 n=10)
IndexHard1-8                                              78.89µ ± 0%     78.52µ ± 0%     -0.46% (p=0.011 n=10)
IndexHard2-8                                              110.4µ ± 1%    2195.8µ ± 1%  +1888.28% (p=0.000 n=10)
IndexHard3-8                                              442.1µ ± 0%    2027.1µ ± 1%   +358.48% (p=0.000 n=10)
IndexHard4-8                                              441.7µ ± 0%    1546.0µ ± 0%   +249.99% (p=0.000 n=10)
LastIndexHard1-8                                          1.114m ± 0%     1.625m ± 0%    +45.86% (p=0.000 n=10)
LastIndexHard2-8                                          1.111m ± 0%     1.627m ± 1%    +46.40% (p=0.000 n=10)
LastIndexHard3-8                                          1.109m ± 1%     1.625m ± 0%    +46.50% (p=0.000 n=10)
CountHard1-8                                              78.65µ ± 1%     78.48µ ± 1%          ~ (p=0.271 n=10)
CountHard2-8                                              110.4µ ± 1%    2199.4µ ± 0%  +1891.91% (p=0.000 n=10)
CountHard3-8                                              442.1µ ± 0%    2018.6µ ± 1%   +356.63% (p=0.000 n=10)
IndexTorture-8                                            8.608µ ± 0%    17.625µ ± 0%   +104.76% (p=0.000 n=10)
CountTorture-8                                            8.591µ ± 0%    17.866µ ± 0%   +107.96% (p=0.000 n=10)
CountTortureOverlapping-8                                 63.84µ ± 3%   3561.93µ ± 0%  +5479.86% (p=0.000 n=10)
CountByte/10-8                                            3.362n ± 0%     4.726n ± 0%    +40.57% (p=0.000 n=10)
CountByte/32-8                                            4.720n ± 0%     5.078n ± 0%     +7.58% (p=0.000 n=10)
CountByte/4K-8                                            63.23n ± 0%     57.64n ± 0%     -8.84% (p=0.000 n=10)
CountByte/4M-8                                            82.16µ ± 3%     89.87µ ± 2%     +9.38% (p=0.000 n=10)
CountByte/64M-8                                           3.762m ± 2%     3.940m ± 3%     +4.74% (p=0.000 n=10)
IndexAnyASCII/1:1-8                                       4.595n ± 0%     6.242n ± 0%    +35.83% (p=0.000 n=10)
IndexAnyASCII/1:2-8                                       5.571n ± 0%     8.115n ± 0%    +45.68% (p=0.000 n=10)
IndexAnyASCII/1:4-8                                       5.562n ± 1%     8.119n ± 0%    +45.96% (p=0.000 n=10)
IndexAnyASCII/1:8-8                                       5.564n ± 0%     8.110n ± 0%    +45.77% (p=0.000 n=10)
IndexAnyASCII/1:16-8                                      5.658n ± 1%     7.916n ± 1%    +39.92% (p=0.000 n=10)
