goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
                                │ ./stdlib.10.1706899847.07e88bec.txt │  ./strcase.10.1706899847.07e88bec.txt   │
                                │               sec/op                │    sec/op      vs base                  │
IndexRune-8                                               10.76n ± 0%     12.78n ± 0%    +18.77% (p=0.000 n=10)
IndexRuneLongString-8                                     14.80n ± 1%     13.70n ± 0%     -7.50% (p=0.000 n=10)
IndexRuneFastPath-8                                       4.350n ± 1%     5.804n ± 0%    +33.43% (p=0.000 n=10)
Index-8                                                   3.923n ± 0%     6.300n ± 1%    +60.58% (p=0.000 n=10)
LastIndex-8                                               3.773n ± 1%     5.650n ± 1%    +49.73% (p=0.000 n=10)
IndexByte-8                                               2.728n ± 0%     4.591n ± 0%    +68.31% (p=0.000 n=10)
EqualFold/ASCII-8                                         9.871n ± 1%     8.853n ± 1%    -10.31% (p=0.000 n=10)
EqualFold/UnicodePrefix-8                                 77.34n ± 1%     37.36n ± 0%    -51.70% (p=0.000 n=10)
EqualFold/UnicodeSuffix-8                                 70.27n ± 0%     28.39n ± 0%    -59.60% (p=0.000 n=10)
IndexHard1-8                                              78.70µ ± 0%     78.63µ ± 0%          ~ (p=0.853 n=10)
IndexHard2-8                                              110.9µ ± 1%    2163.4µ ± 1%  +1850.62% (p=0.000 n=10)
IndexHard3-8                                              441.6µ ± 0%    2021.7µ ± 0%   +357.81% (p=0.000 n=10)
IndexHard4-8                                              442.7µ ± 1%    1729.6µ ± 0%   +290.72% (p=0.000 n=10)
LastIndexHard1-8                                          1.110m ± 1%     1.625m ± 0%    +46.33% (p=0.000 n=10)
LastIndexHard2-8                                          1.110m ± 0%     1.628m ± 1%    +46.69% (p=0.000 n=10)
LastIndexHard3-8                                          1.112m ± 0%     1.629m ± 1%    +46.55% (p=0.000 n=10)
CountHard1-8                                              78.83µ ± 1%     78.69µ ± 0%          ~ (p=0.315 n=10)
CountHard2-8                                              110.5µ ± 0%    2168.6µ ± 1%  +1862.60% (p=0.000 n=10)
CountHard3-8                                              442.8µ ± 1%    2027.0µ ± 1%   +357.81% (p=0.000 n=10)
IndexTorture-8                                            8.626µ ± 0%    15.969µ ± 0%    +85.12% (p=0.000 n=10)
CountTorture-8                                            8.623µ ± 1%    17.935µ ± 0%   +107.98% (p=0.000 n=10)
CountTortureOverlapping-8                                 63.87µ ± 5%   3576.75µ ± 0%  +5499.88% (p=0.000 n=10)
CountByte/10-8                                            3.514n ± 0%     4.915n ± 0%    +39.86% (p=0.000 n=10)
CountByte/32-8                                            4.372n ± 0%     5.342n ± 0%    +22.20% (p=0.000 n=10)
CountByte/4K-8                                            46.45n ± 1%     58.14n ± 0%    +25.17% (p=0.000 n=10)
CountByte/4M-8                                            79.92µ ± 2%     89.55µ ± 2%    +12.05% (p=0.000 n=10)
CountByte/64M-8                                           3.879m ± 1%     3.916m ± 3%          ~ (p=0.123 n=10)
IndexAnyASCII/1:1-8                                       4.623n ± 0%     5.873n ± 0%    +27.04% (p=0.000 n=10)
IndexAnyASCII/1:2-8                                       5.415n ± 0%     7.187n ± 0%    +32.72% (p=0.000 n=10)
IndexAnyASCII/1:4-8                                       5.412n ± 1%     7.170n ± 0%    +32.48% (p=0.000 n=10)
IndexAnyASCII/1:8-8                                       5.417n ± 0%     7.180n ± 1%    +32.55% (p=0.000 n=10)
IndexAnyASCII/1:16-8                                      5.614n ± 1%     7.378n ± 0%    +31.41% (p=0.000 n=10)
IndexAnyASCII/1:32-8                                      6.392n ± 0%     7.900n ± 1%    +23.60% (p=0.000 n=10)
IndexAnyASCII/1:64-8                                      6.571n ± 0%     8.590n ± 0%    +30.74% (p=0.000 n=10)
IndexAnyASCII/16:1-8                                      4.764n ± 0%     6.152n ± 1%    +29.11% (p=0.000 n=10)
IndexAnyASCII/16:2-8                                      14.08n ± 0%     16.58n ± 0%    +17.83% (p=0.000 n=10)
IndexAnyASCII/16:4-8                                      15.35n ± 0%     17.71n ± 0%    +15.37% (p=0.000 n=10)
IndexAnyASCII/16:8-8                                      19.20n ± 1%     21.12n ± 0%    +10.05% (p=0.000 n=10)
IndexAnyASCII/16:16-8                                     25.31n ± 1%     30.98n ± 1%    +22.40% (p=0.000 n=10)
IndexAnyASCII/16:32-8                                     42.79n ± 0%     54.16n ± 0%    +26.55% (p=0.000 n=10)
IndexAnyASCII/16:64-8                                     69.91n ± 0%     91.92n ± 0%    +31.48% (p=0.000 n=10)
IndexAnyASCII/256:1-8                                     8.411n ± 0%    10.170n ± 0%    +20.92% (p=0.000 n=10)
IndexAnyASCII/256:2-8                                     129.8n ± 1%     131.6n ± 0%     +1.35% (p=0.000 n=10)
IndexAnyASCII/256:4-8                                     131.7n ± 0%     133.6n ± 0%     +1.48% (p=0.000 n=10)
IndexAnyASCII/256:8-8                                     135.6n ± 0%     138.0n ± 1%     +1.73% (p=0.000 n=10)
IndexAnyASCII/256:16-8                                    141.4n ± 0%     148.8n ± 1%     +5.31% (p=0.000 n=10)
IndexAnyASCII/256:32-8                                    159.4n ± 1%     178.2n ± 1%    +11.83% (p=0.000 n=10)
IndexAnyASCII/256:64-8                                    184.3n ± 1%     220.4n ± 1%    +19.59% (p=0.000 n=10)
IndexAnyUTF8/1:1-8                                        3.358n ± 0%     3.454n ± 0%     +2.84% (p=0.000 n=10)
IndexAnyUTF8/1:2-8                                        5.258n ± 1%     7.319n ± 2%    +39.20% (p=0.000 n=10)
IndexAnyUTF8/1:4-8                                        5.318n ± 2%     7.180n ± 1%    +35.01% (p=0.000 n=10)
IndexAnyUTF8/1:8-8                                        5.256n ± 1%     7.365n ± 2%    +40.14% (p=0.000 n=10)
IndexAnyUTF8/1:16-8                                       5.545n ± 2%     7.394n ± 1%    +33.32% (p=0.000 n=10)
IndexAnyUTF8/1:32-8                                       6.078n ± 1%     7.943n ± 0%    +30.68% (p=0.000 n=10)
IndexAnyUTF8/1:64-8                                       6.522n ± 0%     8.560n ± 0%    +31.24% (p=0.000 n=10)
IndexAnyUTF8/16:1-8                                       14.01n ± 8%     14.58n ± 5%          ~ (p=0.210 n=10)
IndexAnyUTF8/16:2-8                                       63.00n ± 0%     32.68n ± 0%    -48.11% (p=0.000 n=10)
IndexAnyUTF8/16:4-8                                       62.91n ± 0%     35.03n ± 0%    -44.31% (p=0.000 n=10)
IndexAnyUTF8/16:8-8                                       62.98n ± 0%     92.84n ± 0%    +47.40% (p=0.000 n=10)
IndexAnyUTF8/16:16-8                                      66.30n ± 0%     93.84n ± 0%    +41.56% (p=0.000 n=10)
IndexAnyUTF8/16:32-8                                      72.64n ± 0%    101.30n ± 1%    +39.45% (p=0.000 n=10)
IndexAnyUTF8/16:64-8                                      79.53n ± 1%    108.55n ± 0%    +36.50% (p=0.000 n=10)
IndexAnyUTF8/256:1-8                                      169.0n ± 0%     167.8n ± 0%     -0.65% (p=0.000 n=10)
IndexAnyUTF8/256:2-8                                      872.2n ± 1%     349.5n ± 0%    -59.93% (p=0.000 n=10)
IndexAnyUTF8/256:4-8                                      871.9n ± 1%     193.5n ± 0%    -77.81% (p=0.000 n=10)
IndexAnyUTF8/256:8-8                                      873.8n ± 0%     387.4n ± 1%    -55.66% (p=0.000 n=10)
